Where does software design fit in the traditional waterfall software development lifecycle?|Between architecture and implementation
Which of the following is NOT an aspect of software design|Polymorphism
The ability to use a built-in function of a programming language to generate a random number is an example of which of the following?|Information hiding
Analyzing the extent to which other modules must change when a module is modified is an example of which of the following?|Coupling
When all of the responsibilities of a module are easily classified as being strongly related, this is an example of high what?|Cohesion
Which of the following is most preferred?|Allowing one module to affect the program flow of another via the use of a state message (message coupling)
Which of the following is LEAST desirable?|including functionality which occurs around the same time
Which of the following are necessary before proper testing?|inputs, expected output, and an oracle
Which of the following is an mistake in code which is found in code review?|Failure
Which of the following is an example of validation?|software is well-received by the user
In your current project, you have access to some intern development resources, which are not currently operating at full capacity. You also know that the testing timeline will be truncated, due to delays in critical-path module development. Which strategy should you employ?|Utilize the intern resources to design and develop drivers and stubs, while work continues on critical-path module development
When is testing complete?|When you run out of time
Which of the following is an example of black-box testing?|Developing test cases based on typical user behavior
